glider_sn, 1012
deployment_number, 3
fin_type, radome
glider_type, G3
length_days, 67.88472222222222
launch_datetime, 2023-12-13T19:46:00
end_datetime, 2024-02-19T17:00:00
log file,open time,disconnect,in-mission,data transfer drop,flight xfer drop,science xfer drop,other data xfer drop
ce_1012_20231213T194331_network_net_0.log,2023-12-13T19:43:31,False,True,False,False,False,False
ce_1012_20231213T194500_network_net_0.log,2023-12-13T19:45:00,False,True,False,False,False,False
ce_1012_20231213T194903_network_net_0.log,2023-12-13T19:49:03,True,True,False,False,False,False
ce_1012_20231213T202704_network_net_0.log,2023-12-13T20:27:04,False,False,True,True,False,False
ce_1012_20231213T214225_network_net_0.log,2023-12-13T21:42:25,False,True,False,False,False,False
ce_1012_20231213T224037_network_net_0.log,2023-12-13T22:40:37,False,True,True,True,False,False
ce_1012_20231213T233934_network_net_0.log,2023-12-13T23:39:34,True,True,False,False,False,False
ce_1012_20231214T004101_network_net_0.log,2023-12-14T00:41:01,True,True,False,False,False,False
ce_1012_20231214T014156_network_net_0.log,2023-12-14T01:41:56,True,True,False,False,False,False
ce_1012_20231214T024332_network_net_0.log,2023-12-14T02:43:32,True,True,False,False,False,False
ce_1012_20231214T034339_network_net_0.log,2023-12-14T03:43:39,True,True,False,False,False,False
ce_1012_20231214T064450_network_net_0.log,2023-12-14T06:44:50,True,True,False,False,False,False
ce_1012_20231214T095152_network_net_1.log,2023-12-14T09:51:52,True,True,False,False,False,False
ce_1012_20231214T125547_network_net_0.log,2023-12-14T12:55:47,True,True,False,False,False,False
ce_1012_20231214T155505_network_net_2.log,2023-12-14T15:55:05,False,True,False,False,False,False
ce_1012_20231214T160350_network_net_0.log,2023-12-14T16:03:50,True,True,False,False,False,False
ce_1012_20231214T184909_network_net_0.log,2023-12-14T18:49:09,True,True,False,False,False,False
ce_1012_20231214T214529_network_net_0.log,2023-12-14T21:45:29,True,True,False,False,False,False
ce_1012_20231215T004837_network_net_1.log,2023-12-15T00:48:37,False,True,True,False,True,False
ce_1012_20231215T035939_network_net_2.log,2023-12-15T03:59:39,True,True,False,False,False,False
ce_1012_20231215T070423_network_net_0.log,2023-12-15T07:04:23,True,True,False,False,False,False
ce_1012_20231215T100655_network_net_0.log,2023-12-15T10:06:55,True,True,False,False,False,False
ce_1012_20231215T130208_network_net_1.log,2023-12-15T13:02:08,True,True,False,False,False,False
ce_1012_20231215T191923_network_net_1.log,2023-12-15T19:19:23,True,True,False,False,False,False
ce_1012_20231215T215101_network_net_0.log,2023-12-15T21:51:01,True,True,False,False,False,False
ce_1012_20231216T010733_network_net_0.log,2023-12-16T01:07:33,True,True,False,False,False,False
ce_1012_20231216T040821_network_net_0.log,2023-12-16T04:08:21,True,True,False,False,False,False
ce_1012_20231216T070423_network_net_0.log,2023-12-16T07:04:23,True,True,False,False,False,False
ce_1012_20231216T105238_network_net_0.log,2023-12-16T10:52:38,False,True,True,False,True,False
ce_1012_20231216T141959_network_net_0.log,2023-12-16T14:19:59,True,True,False,False,False,False
ce_1012_20231216T170008_network_net_0.log,2023-12-16T17:00:08,False,True,False,False,False,False
ce_1012_20231216T170148_network_net_0.log,2023-12-16T17:01:48,False,True,False,False,False,False
ce_1012_20231216T191014_network_net_1.log,2023-12-16T19:10:14,False,True,True,False,True,False
ce_1012_20231216T230841_network_net_0.log,2023-12-16T23:08:41,False,True,True,False,True,False
ce_1012_20231217T021558_network_net_0.log,2023-12-17T02:15:58,False,True,True,False,True,False
ce_1012_20231217T050714_network_net_0.log,2023-12-17T05:07:14,False,True,True,True,False,False
ce_1012_20231217T081120_network_net_1.log,2023-12-17T08:11:20,False,True,True,False,True,False
ce_1012_20231217T110651_network_net_0.log,2023-12-17T11:06:51,True,True,False,False,False,False
ce_1012_20231217T140552_network_net_0.log,2023-12-17T14:05:52,True,True,False,False,False,False
ce_1012_20231217T170449_network_net_0.log,2023-12-17T17:04:49,True,True,False,False,False,False
ce_1012_20231217T200324_network_net_0.log,2023-12-17T20:03:24,False,True,True,True,False,False
ce_1012_20231217T231033_network_net_0.log,2023-12-17T23:10:33,False,True,False,False,False,False
ce_1012_20231217T231300_network_net_0.log,2023-12-17T23:13:00,False,True,False,False,False,False
ce_1012_20231218T020904_network_net_0.log,2023-12-18T02:09:04,True,True,False,False,False,False
ce_1012_20231218T050419_network_net_1.log,2023-12-18T05:04:19,False,True,False,False,False,False
ce_1012_20231218T081557_network_net_0.log,2023-12-18T08:15:57,False,True,False,False,False,False
ce_1012_20231218T110126_network_net_0.log,2023-12-18T11:01:26,True,True,False,False,False,False
ce_1012_20231218T141053_network_net_0.log,2023-12-18T14:10:53,False,True,False,False,False,False
ce_1012_20231218T141334_network_net_0.log,2023-12-18T14:13:34,True,True,False,False,False,False
ce_1012_20231218T171218_network_net_0.log,2023-12-18T17:12:18,False,True,True,False,True,False
ce_1012_20231218T200834_network_net_1.log,2023-12-18T20:08:34,True,True,False,False,False,False
ce_1012_20231218T230450_network_net_0.log,2023-12-18T23:04:50,True,True,False,False,False,False
ce_1012_20231219T021037_network_net_0.log,2023-12-19T02:10:37,True,True,False,False,False,False
ce_1012_20231219T050634_network_net_1.log,2023-12-19T05:06:34,True,True,False,False,False,False
ce_1012_20231219T081235_network_net_0.log,2023-12-19T08:12:35,False,True,False,False,False,False
ce_1012_20231219T082051_network_net_0.log,2023-12-19T08:20:51,True,True,False,False,False,False
ce_1012_20231219T110446_network_net_1.log,2023-12-19T11:04:46,True,True,False,False,False,False
ce_1012_20231219T141610_network_net_0.log,2023-12-19T14:16:10,False,True,True,True,False,False
ce_1012_20231219T170802_network_net_0.log,2023-12-19T17:08:02,True,True,False,False,False,False
ce_1012_20231219T201439_network_net_0.log,2023-12-19T20:14:39,False,True,False,False,False,False
ce_1012_20231219T202052_network_net_0.log,2023-12-19T20:20:52,True,False,False,False,False,False
ce_1012_20231220T001622_network_net_0.log,2023-12-20T00:16:22,False,True,True,True,False,False
ce_1012_20231220T041240_network_net_0.log,2023-12-20T04:12:40,False,True,False,False,False,False
ce_1012_20231220T041632_network_net_0.log,2023-12-20T04:16:32,False,True,False,False,False,False
ce_1012_20231220T064718_network_net_0.log,2023-12-20T06:47:18,False,True,True,False,True,False
ce_1012_20231220T065605_network_net_0.log,2023-12-20T06:56:05,False,True,False,False,False,False
ce_1012_20231220T070013_network_net_0.log,2023-12-20T07:00:13,False,False,False,False,False,False
ce_1012_20231220T070257_network_net_0.log,2023-12-20T07:02:57,True,False,False,False,False,False
ce_1012_20231220T105842_network_net_1.log,2023-12-20T10:58:42,False,True,False,False,False,False
ce_1012_20231220T110140_network_net_1.log,2023-12-20T11:01:40,True,True,False,False,False,False
ce_1012_20231220T144934_network_net_0.log,2023-12-20T14:49:34,True,True,False,False,False,False
ce_1012_20231220T171929_network_net_0.log,2023-12-20T17:19:29,True,True,False,False,False,False
ce_1012_20231220T205906_network_net_0.log,2023-12-20T20:59:06,True,True,False,False,False,False
ce_1012_20231220T233211_network_net_0.log,2023-12-20T23:32:11,True,True,False,False,False,False
ce_1012_20231221T025317_network_net_0.log,2023-12-21T02:53:17,False,True,False,False,False,False
ce_1012_20231221T025705_network_net_0.log,2023-12-21T02:57:05,False,True,False,False,False,False
ce_1012_20231221T053838_network_net_0.log,2023-12-21T05:38:38,True,True,False,False,False,False
ce_1012_20231221T084619_network_net_0.log,2023-12-21T08:46:19,False,True,False,False,False,False
ce_1012_20231221T084812_network_net_0.log,2023-12-21T08:48:12,False,True,False,False,False,False
ce_1012_20231221T114456_network_net_0.log,2023-12-21T11:44:56,False,True,True,False,True,False
ce_1012_20231221T144643_network_net_0.log,2023-12-21T14:46:43,True,True,False,False,False,False
ce_1012_20231221T173859_network_net_0.log,2023-12-21T17:38:59,True,True,False,False,False,False
ce_1012_20231221T204936_network_net_0.log,2023-12-21T20:49:36,True,True,False,False,False,False
ce_1012_20231221T234253_network_net_0.log,2023-12-21T23:42:53,False,True,True,False,True,False
ce_1012_20231222T025118_network_net_0.log,2023-12-22T02:51:18,False,True,True,False,True,False
ce_1012_20231222T054132_network_net_0.log,2023-12-22T05:41:32,True,True,False,False,False,False
ce_1012_20231222T084845_network_net_0.log,2023-12-22T08:48:45,True,True,False,False,False,False
ce_1012_20231222T114704_network_net_0.log,2023-12-22T11:47:04,False,True,False,False,False,False
ce_1012_20231222T115021_network_net_0.log,2023-12-22T11:50:21,False,True,False,False,False,False
ce_1012_20231222T144640_network_net_0.log,2023-12-22T14:46:40,True,True,False,False,False,False
ce_1012_20231222T174606_network_net_0.log,2023-12-22T17:46:06,False,True,False,False,False,False
ce_1012_20231222T174744_network_net_0.log,2023-12-22T17:47:44,False,True,True,False,True,False
ce_1012_20231222T205059_network_net_0.log,2023-12-22T20:50:59,False,True,False,False,False,False
ce_1012_20231222T210133_network_net_0.log,2023-12-22T21:01:33,True,True,False,False,False,False
ce_1012_20231222T233844_network_net_1.log,2023-12-22T23:38:44,False,True,False,False,False,False
ce_1012_20231223T024739_network_net_0.log,2023-12-23T02:47:39,False,True,False,False,False,False
ce_1012_20231223T054823_network_net_0.log,2023-12-23T05:48:23,True,True,False,False,False,False
ce_1012_20231223T084303_network_net_0.log,2023-12-23T08:43:03,False,True,False,False,False,False
ce_1012_20231223T084458_network_net_0.log,2023-12-23T08:44:58,True,True,False,False,False,False
ce_1012_20231223T115044_network_net_0.log,2023-12-23T11:50:44,False,True,False,False,False,False
